,year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations
89,2000,Happy Times,tt0303243,PG,102,"Comedy, Drama, Romance",7.4,63.0,"Zhao is an aging bachelor who hasn't been lucky in love. Thinking he has finally met the woman of his dreams, Zhao leads her to believe he is wealthy and agrees to a wedding far beyond his ...",3724,239134.0,40.0,64.0,-1.0,4,2
90,2000,Harrison's Flowers,tt0216799,R,121,"Drama, Romance, War",7.1,49.0,"When a Newsweek photojournalist disappears in war-torn Yugoslavia, his wife travels to Europe to find him.",5856,1843570.0,78.0,51.0,-1.0,3,0
91,2000,Here on Earth,tt0195778,PG-13,96,"Drama, Romance",5.1,25.0,A rich college kid is taught a lesson after a joy ride ends up destroying a country restaurant.,7980,10494147.0,161.0,45.0,-1.0,0,2
92,2000,High Fidelity,tt0146882,R,113,Comedy|Drama|Music,7.5,79.0,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",146486,27280000.0,604.0,175.0,2450.0,0,7
93,2000,Highlander: Endgame,tt0144964,R,87,"Action, Adventure, Fantasy, Sci-Fi",4.6,21.0,"Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.",18339,12801190.0,356.0,95.0,-1.0,0,0
94,2000,Hollow Man,tt0164052,R,112,Action|Horror|Sci-Fi,5.69999981,24.0,"Scientists discover how to make people invisible, but their test subject becomes an insane killer who stalks them.",104404,73210000.0,630.0,177.0,2149.0,0,0
95,2000,How the Grinch Stole Christmas,tt0170016,PG,104,Comedy|Family|Fantasy,6.0,46.0,"On the outskirts of Whoville, there lives a green, revenge-seeking Grinch who plans on ruining the Christmas holiday for all of the citizens of the town.",150313,260030000.0,489.0,176.0,1593.0,2,9
96,2000,I Dreamed of Africa,tt0167203,PG-13,114,"Adventure, Drama, Romance",5.6,33.0,"Kuki, a divorced Italian socialite, changes her life after a serious car crash. She accepts a marriage proposal from Paolo Gallmann, a man she doesn't know well, and she moves to Kenya with...",4115,6543194.0,65.0,53.0,-1.0,0,3
97,2000,In the Mood for Love,tt0118694,PG,98,"Drama, Romance",8.1,85.0,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",105326,2734044.0,380.0,139.0,2267.0,44,47
98,2000,Italiensk for begyndere,tt0243862,R,112,"Comedy, Drama, Romance",7.1,77.0,Several lonely hearts in a semi-provincial suburb of a town in Denmark use a beginner's course in Italian as the platform to meet the romance of their lives.,12251,4447186.0,87.0,98.0,-1.0,20,22
99,2000,Joint Security Area,tt0260991,Not Rated,110,"Action, Drama, Thriller, War",7.8,58.0,"In the DMZ separating North and South Korea, two North Korean soldiers have been killed, supposedly by one South Korean soldier. But the 11 bullets found in the bodies, together with the 5 ...",23405,-1.0,81.0,87.0,-1.0,14,4
100,2000,Keeping the Faith,tt0171433,PG-13,128,"Comedy, Drama, Romance",6.4,60.0,"Two friends, a priest and a rabbi, fall in love with the same woman they knew in their youth, but the religious position of both men denies them romance.",47848,37047880.0,257.0,145.0,-1.0,2,6
